% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (4.078000000000e+01) | measured fitness | best measured fitness | x1 | x2...
66 0 +1.935025650e+01 +1.935025650e+01 +1.775025650e+01 +1.775025650e+01 +2.2560e+00 +2.5676e-01 +6.1330e-01 -2.0740e+00 -4.3645e-01 +3.5891e-01 -3.3291e-01 +3.8413e-01 -4.3324e-01 +4.2933e-02
95 0 +1.789530595e+01 +1.789530595e+01 +1.629530595e+01 +1.629530595e+01 +2.1916e+00 +1.6451e-01 +3.6406e-01 -1.9100e+00 -5.6413e-01 -3.2695e-01 -4.9517e-01 -1.8530e-01 -6.5023e-01 -3.7037e-03
112 0 +1.697184327e+01 +1.697184327e+01 +1.537184327e+01 +1.537184327e+01 +2.4554e+00 +8.2290e-01 +2.6291e-01 -1.7630e+00 -7.3823e-01 -9.2282e-02 -1.9262e-01 -1.0511e-01 -1.1528e+00 +4.5770e-03
141 0 +1.596624467e+01 +1.596624467e+01 +1.436624467e+01 +1.436624467e+01 +2.5666e+00 +3.0808e-01 +6.5420e-01 -2.1535e+00 -6.3712e-01 +4.3769e-01 -2.6172e-01 +1.2063e-01 -6.2344e-01 -9.2831e-02
144 0 +1.429680536e+01 +1.429680536e+01 +1.269680536e+01 +1.269680536e+01 +3.1299e+00 +4.8046e-01 +4.8854e-02 -1.4997e+00 -5.5805e-01 +7.4208e-01 -1.1027e-01 -3.7651e-01 -5.6597e-01 +3.0498e-02
968 0 +1.410984643e+01 +1.410984643e+01 +1.250984643e+01 +1.250984643e+01 +2.7687e+00 +4.2297e-01 +1.8607e-01 -1.9821e+00 -6.1001e-01 +5.7448e-01 -3.2281e-01 -4.5304e-01 -1.0242e+00 -2.2217e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-3.708400000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +6.478493794e+01 +6.478493794e+01 -3.060550621e+02 -3.060550621e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
7 0 +6.454182722e+01 +6.454182722e+01 -3.062981728e+02 -3.062981728e+02 -3.0303e-01 +8.5273e-02 +6.6565e-02 +1.3226e+00 +4.7574e-01 -6.7268e-01 -5.2845e-01 -2.7166e-02 +1.8651e-01 -1.2709e+00
9 0 +5.713991447e+01 +5.713991447e+01 -3.137000855e+02 -3.137000855e+02 +7.0224e-03 -1.2107e-01 +4.6374e-02 +7.1741e-01 +3.2752e-01 +3.4211e-02 -3.3249e-01 +1.9332e-01 +1.3348e-01 +6.5629e-01
19 0 +5.336128344e+01 +5.336128344e+01 -3.174787166e+02 -3.174787166e+02 +1.0963e+00 -2.1049e-01 +6.4946e-01 +3.9416e-01 +1.6199e-01 -5.6270e-01 -5.7223e-01 +5.8854e-02 -2.0086e-02 +8.6571e-01
22 0 +4.370753998e+01 +4.370753998e+01 -3.271324600e+02 -3.271324600e+02 +1.1041e+00 -4.6941e-01 -4.9018e-01 +1.0739e+00 -1.3218e-01 -8.9301e-01 -2.9486e-01 -3.2523e-02 +1.1164e-01 +2.7785e-01
27 0 +3.786606339e+01 +3.786606339e+01 -3.329739366e+02 -3.329739366e+02 +2.9055e+00 -8.9231e-01 -5.0091e-01 +2.6173e-01 +1.9457e-01 -1.7759e-01 -1.0885e+00 +1.8551e-01 -6.5072e-02 +5.5313e-01
32 0 +3.054768016e+01 +3.054768016e+01 -3.402923198e+02 -3.402923198e+02 +1.5141e+00 +1.4757e-01 -6.8431e-01 +1.2165e+00 -2.4756e-01 -5.1282e-01 -7.7285e-01 +2.0624e-01 -9.1196e-02 -3.8505e-02
254 0 +2.835491831e+01 +2.835491831e+01 -3.424850817e+02 -3.424850817e+02 -2.3980e+00 -2.0361e+00 -2.8182e-01 -5.6063e+00 -2.2777e+00 -2.9155e+00 -3.5225e+00 +1.9288e+00 +8.5775e-01 +7.1108e-01
303 0 +2.799325609e+01 +2.799325609e+01 -3.428467439e+02 -3.428467439e+02 -2.3861e+00 -1.7840e+00 -7.5848e-01 -5.7738e+00 -2.4698e+00 -2.6635e+00 -3.3133e+00 +1.5670e+00 +6.4565e-01 +4.0466e-01
307 0 +2.749945177e+01 +2.749945177e+01 -3.433405482e+02 -3.433405482e+02 -1.5143e+00 -1.8154e+00 -8.9093e-01 -5.1705e+00 -2.2238e+00 -2.3717e+00 -3.5139e+00 +1.6730e+00 +6.6372e-01 +6.9995e-01
597 0 +2.681043321e+01 +2.681043321e+01 -3.440295668e+02 -3.440295668e+02 -1.4378e+00 -2.6822e+00 -3.2016e-01 -4.8997e+00 -1.8906e+00 -3.0816e+00 -3.4640e+00 +1.9146e+00 +6.7990e-01 -7.9208e-01
775 0 +2.576890221e+01 +2.576890221e+01 -3.450710978e+02 -3.450710978e+02 +5.4965e+00 +1.6229e+00 -3.6891e-01 -4.3477e+00 -3.4456e+00 -3.8710e+00 -1.7110e+00 +1.5751e+00 -3.2626e-01 -2.0540e-01
788 0 +2.476344138e+01 +2.476344138e+01 -3.460765586e+02 -3.460765586e+02 +5.7317e+00 +1.3763e+00 -1.1351e-01 -3.5236e+00 -4.0886e+00 -4.8163e+00 -1.3888e+00 +1.3987e+00 -1.8616e-01 -3.4134e-01
