% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-5.235000000000e+01) | measured fitness | best measured fitness | x1 | x2...
47 0 +3.648618897e+01 +3.648618897e+01 -2.012381103e+01 -2.012381103e+01
54 0 +3.371311872e+01 +3.371311872e+01 -2.289688128e+01 -2.289688128e+01
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (3.270000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +9.737012458e+01 +9.737012458e+01 +1.300701246e+02 +1.300701246e+02
4 0 +7.902497776e+01 +7.902497776e+01 +1.117249778e+02 +1.117249778e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-3.943000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +1.287623121e+02 +1.287623121e+02 +8.933231214e+01 +8.933231214e+01
5 0 +8.042724864e+01 +8.042724864e+01 +4.099724864e+01 +4.099724864e+01
67 0 +7.314857685e+01 +7.314857685e+01 +3.371857685e+01 +3.371857685e+01
86 0 +6.532693467e+01 +6.532693467e+01 +2.589693467e+01 +2.589693467e+01
99 0 +5.784488635e+01 +5.784488635e+01 +1.841488635e+01 +1.841488635e+01
118 0 +5.251900187e+01 +5.251900187e+01 +1.308900187e+01 +1.308900187e+01
126 0 +5.026325687e+01 +5.026325687e+01 +1.083325687e+01 +1.083325687e+01
142 0 +5.000915503e+01 +5.000915503e+01 +1.057915503e+01 +1.057915503e+01
162 0 +4.820128971e+01 +4.820128971e+01 +8.771289713e+00 +8.771289713e+00
188 0 +4.751586805e+01 +4.751586805e+01 +8.085868048e+00 +8.085868048e+00
231 0 +4.615976144e+01 +4.615976144e+01 +6.729761444e+00 +6.729761444e+00
236 0 +4.442578563e+01 +4.442578563e+01 +4.995785633e+00 +4.995785633e+00
242 0 +3.796517783e+01 +3.796517783e+01 -1.464822168e+00 -1.464822168e+00
287 0 +3.450393244e+01 +3.450393244e+01 -4.926067560e+00 -4.926067560e+00
335 0 +3.355021505e+01 +3.355021505e+01 -5.879784947e+00 -5.879784947e+00
346 0 +3.244992459e+01 +3.244992459e+01 -6.980075408e+00 -6.980075408e+00
353 0 +3.137788479e+01 +3.137788479e+01 -8.052115213e+00 -8.052115213e+00
366 0 +2.946816252e+01 +2.946816252e+01 -9.961837478e+00 -9.961837478e+00
404 0 +2.827753322e+01 +2.827753322e+01 -1.115246678e+01 -1.115246678e+01
414 0 +2.793321191e+01 +2.793321191e+01 -1.149678809e+01 -1.149678809e+01
442 0 +2.747083354e+01 +2.747083354e+01 -1.195916646e+01 -1.195916646e+01
463 0 +2.682462467e+01 +2.682462467e+01 -1.260537533e+01 -1.260537533e+01
474 0 +2.615038025e+01 +2.615038025e+01 -1.327961975e+01 -1.327961975e+01
494 0 +2.564024922e+01 +2.564024922e+01 -1.378975078e+01 -1.378975078e+01
526 0 +2.498456559e+01 +2.498456559e+01 -1.444543441e+01 -1.444543441e+01
552 0 +2.398148083e+01 +2.398148083e+01 -1.544851917e+01 -1.544851917e+01
563 0 +2.343844991e+01 +2.343844991e+01 -1.599155009e+01 -1.599155009e+01
585 0 +2.267486302e+01 +2.267486302e+01 -1.675513698e+01 -1.675513698e+01
608 0 +2.218055139e+01 +2.218055139e+01 -1.724944861e+01 -1.724944861e+01
634 0 +2.174740228e+01 +2.174740228e+01 -1.768259772e+01 -1.768259772e+01
663 0 +2.112991781e+01 +2.112991781e+01 -1.830008219e+01 -1.830008219e+01
724 0 +2.085790859e+01 +2.085790859e+01 -1.857209141e+01 -1.857209141e+01
