% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (1.000000000000e+03) | measured fitness | best measured fitness | x1 | x2...
8 0 +1.031796177e+02 +1.031796177e+02 +5.495961775e+01 +5.495961775e+01 -7.8461e-01 +6.9451e-01 +4.1051e-01 +1.0927e-01 -1.8477e+00
12 0 +9.621996958e+01 +9.621996958e+01 +4.799996958e+01 +4.799996958e+01 -9.6361e-01 +3.2601e-01 +6.1442e-02 -2.2719e-02 -5.3572e-01
22 0 +7.856351780e+01 +7.856351780e+01 +3.034351780e+01 +3.034351780e+01 -8.3531e-01 -8.8875e-01 +2.9894e-01 +4.3650e-01 -2.9780e+00
26 0 +6.214123205e+01 +6.214123205e+01 +1.392123205e+01 +1.392123205e+01 -2.6034e-01 +2.8904e-01 +4.1421e-01 -5.9903e-01 -2.1933e+00
34 0 +4.256231853e+01 +4.256231853e+01 -5.657681469e+00 -5.657681469e+00 -1.7295e+00 -1.0118e+00 -8.1136e-01 +1.9643e-01 -4.0130e+00
578 0 +2.250924817e+01 +2.250924817e+01 -2.571075183e+01 -2.571075183e+01 -2.3931e+00 -1.1872e+00 -4.2745e+00 +3.8472e-01 -2.7893e+00
658 0 +1.749761982e+01 +1.749761982e+01 -3.072238018e+01 -3.072238018e+01 -2.8769e+00 -1.2719e+00 -2.2668e+00 +5.8048e-01 -2.8572e+00
767 0 +1.670334453e+01 +1.670334453e+01 -3.151665547e+01 -3.151665547e+01 -3.0814e+00 -9.0021e-01 -8.3872e-01 -2.0003e-01 -4.8412e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (2.547000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +1.434467868e+02 +1.434467868e+02 +1.689167868e+02 +1.689167868e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +1.015134484e+02 +1.015134484e+02 +1.269834484e+02 +1.269834484e+02 -5.9428e-01 +3.1657e-02 -4.4919e-01 -9.2196e-01 +1.1573e-02
14 0 +7.448865816e+01 +7.448865816e+01 +9.995865816e+01 +9.995865816e+01 -9.5098e-01 +7.9793e-02 -2.2712e+00 -3.5811e+00 +2.6011e-01
17 0 +7.144400753e+01 +7.144400753e+01 +9.691400753e+01 +9.691400753e+01 -9.0865e-02 +2.7587e-02 -1.3333e+00 -2.1453e+00 +3.2492e-01
20 0 +6.109928904e+01 +6.109928904e+01 +8.656928904e+01 +8.656928904e+01 -1.5110e+00 +3.2075e-02 -2.3483e+00 -2.1470e+00 +2.9953e-02
22 0 +5.358994010e+01 +5.358994010e+01 +7.905994010e+01 +7.905994010e+01 -1.3159e+00 +4.6893e-02 -2.8896e+00 -3.1190e+00 -2.6671e-01
23 0 +3.505077775e+01 +3.505077775e+01 +6.052077775e+01 +6.052077775e+01 -1.5352e+00 +6.5618e-02 -1.6927e+00 -2.4243e+00 +1.1603e-02
30 0 +3.247879062e+01 +3.247879062e+01 +5.794879062e+01 +5.794879062e+01 -1.5230e+00 -1.1213e-01 -1.9076e+00 -3.2487e+00 -4.8643e-02
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1.008100000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +7.698999316e+01 +7.698999316e+01 -2.382000684e+01 -2.382000684e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
6 0 +7.110107248e+01 +7.110107248e+01 -2.970892752e+01 -2.970892752e+01 -9.8844e-02 -9.3036e-02 -3.0128e-01 -1.7144e-01 +1.4849e+00
9 0 +5.610660124e+01 +5.610660124e+01 -4.470339876e+01 -4.470339876e+01 -9.0332e-01 -2.8047e-01 -2.9802e-01 +1.9340e-01 +5.0009e-01
11 0 +5.394754033e+01 +5.394754033e+01 -4.686245967e+01 -4.686245967e+01 +2.0156e+00 +2.7568e-01 -1.2184e-01 +2.2935e-01 +3.5073e-01
13 0 +5.198592412e+01 +5.198592412e+01 -4.882407588e+01 -4.882407588e+01 +2.0612e+00 +1.6803e-01 +1.3478e-01 -4.6095e-03 +4.2466e-01
17 0 +4.988561157e+01 +4.988561157e+01 -5.092438843e+01 -5.092438843e+01 +1.6387e+00 +6.3251e-01 -1.6390e-01 +5.7429e-01 -9.8223e-01
38 0 +4.765723916e+01 +4.765723916e+01 -5.315276084e+01 -5.315276084e+01 +5.1746e-01 +1.9858e-01 -3.0967e-01 +4.8177e-01 +1.3965e+00
97 0 +4.622991815e+01 +4.622991815e+01 -5.458008185e+01 -5.458008185e+01 +4.4484e+00 -2.4476e-01 +4.3930e-01 +1.1534e+00 +3.1449e+00
211 0 +4.188800996e+01 +4.188800996e+01 -5.892199004e+01 -5.892199004e+01 +2.5002e+00 +1.2588e+00 +4.2418e-01 +2.4884e-01 +2.7769e+00
